
2025/06/30 (13:07:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/06/30 (13:07:18) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/06/30 (13:07:18) | DEBUG: Shared::init() : Initialized.

2025/07/01 (15:03:16) | ===> btop++ v.1.4.0
2025/07/01 (15:03:16) | INFO: Logger set to DEBUG
2025/07/01 (15:03:16) | DEBUG: Using locale en_US.UTF-8
2025/07/01 (15:03:16) | INFO: Running on /dev/pts/5
2025/07/01 (15:03:16) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/07/01 (15:03:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/07/01 (15:03:16) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/07/01 (15:03:16) | DEBUG: Shared::init() : Initialized.

2025/07/02 (11:17:24) | ===> btop++ v.1.4.0
2025/07/02 (11:17:24) | INFO: Logger set to DEBUG
2025/07/02 (11:17:24) | DEBUG: Using locale en_US.UTF-8
2025/07/02 (11:17:24) | INFO: Running on /dev/pts/1
2025/07/02 (11:17:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/07/02 (11:17:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/07/02 (11:17:24) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/07/02 (11:17:24) | DEBUG: Shared::init() : Initialized.

2025/07/02 (11:45:54) | ===> btop++ v.1.4.0
2025/07/02 (11:45:54) | INFO: Logger set to DEBUG
2025/07/02 (11:45:54) | DEBUG: Using locale en_US.UTF-8
2025/07/02 (11:45:54) | INFO: Running on /dev/pts/1
2025/07/02 (11:45:54) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/07/02 (11:45:54) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/07/02 (11:45:54) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/07/02 (11:45:54) | DEBUG: Shared::init() : Initialized.

2025/07/23 (14:42:49) | ===> btop++ v.1.4.0
2025/07/23 (14:42:49) | INFO: Logger set to DEBUG
2025/07/23 (14:42:49) | DEBUG: Using locale en_US.UTF-8
2025/07/23 (14:42:49) | INFO: Running on /dev/pts/5
2025/07/23 (14:42:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/07/23 (14:42:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/07/23 (14:42:49) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/07/23 (14:42:49) | DEBUG: Shared::init() : Initialized.
2025/07/23 (14:56:49) | ERROR: Stall in Runner thread, restarting!
2025/07/23 (15:02:25) | ERROR: Stall in Runner thread, restarting!

2025/07/23 (15:23:45) | ===> btop++ v.1.4.0
2025/07/23 (15:23:45) | INFO: Logger set to DEBUG
2025/07/23 (15:23:45) | DEBUG: Using locale en_US.UTF-8
2025/07/23 (15:23:45) | INFO: Running on /dev/pts/3
2025/07/23 (15:23:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/07/23 (15:23:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/07/23 (15:23:45) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/07/23 (15:23:45) | DEBUG: Shared::init() : Initialized.
